Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Season
Caris LeVert,SG,28,CLE,74.0,30.23,0.02,0.6,0.38,0.01,0.0,4.7,-2.2,0.99,0.32,1.2,0.09,1.08,0.41,9.01,0.22,0.45,2023
Meyers Leonard,C,30,MIL,9.0,12.67,0.0,0.0,0.0,0.0,1.0,-11.5,-15.6,0.22,0.0,1.0,0.44,0.44,0.0,0.22,0.11,0.22,2023
Alex Len,C,29,SAC,26.0,6.19,0.0,0.0,0.0,0.0,1.0,5.9,3.8,0.23,0.15,0.5,0.19,0.23,0.0,1.19,0.0,0.04,2023
Terance Mann,SG,26,LAC,81.0,23.11,0.18,0.46,0.33,0.04,0.0,1.3,1.3,0.47,0.26,0.69,0.17,0.75,0.22,5.52,0.2,0.41,2023
Saben Lee,PG,23,TOT,25.0,14.92,0.99,0.01,0.0,0.0,0.0,-2.8,-5.2,0.68,0.16,0.56,0.08,1.0,0.32,6.2,0.12,0.52,2023
Damion Lee,SG,30,PHO,74.0,20.35,0.03,0.43,0.49,0.06,0.0,1.3,-0.8,0.32,0.31,0.74,0.15,0.39,0.27,3.23,0.07,0.19,2023
A.J. Lawson,SG,22,TOT,15.0,7.2,0.02,0.36,0.48,0.15,0.0,-18.2,-18.9,0.13,0.0,0.47,0.0,0.33,0.07,0.33,0.13,0.2,2023
Zach LaVine,SG,27,CHI,77.0,35.95,0.25,0.43,0.32,0.01,0.0,0.4,-4.0,1.12,0.82,1.22,0.21,2.74,0.05,9.99,0.66,1.01,2023
Jake LaRavia,PF,21,MEM,35.0,11.83,0.0,0.0,0.19,0.61,0.2,-6.9,-11.7,0.2,0.11,0.69,0.03,0.14,0.09,1.46,0.03,0.11,2023
Romeo Langford,SG,23,SAS,43.0,19.63,0.04,0.57,0.38,0.01,0.0,-8.9,1.6,0.33,0.21,0.77,0.05,0.65,0.47,2.74,0.14,0.3,2023
Jock Landale,C,27,PHO,69.0,14.19,0.0,0.0,0.0,0.0,1.0,6.1,5.7,0.16,0.23,1.06,0.3,0.7,0.09,2.48,0.2,0.32,2023
Anthony Lamb,SF,25,GSW,62.0,19.27,0.0,0.01,0.5,0.49,0.0,1.0,-1.2,0.53,0.18,1.11,0.1,0.37,0.26,4.02,0.13,0.18,2023
Kyle Kuzma,PF,27,WAS,64.0,34.98,0.0,0.0,0.14,0.81,0.05,0.2,3.4,1.02,0.81,1.19,0.55,1.88,0.12,8.97,0.45,0.92,2023
Jonathan Kuminga,PF,20,GSW,67.0,20.81,0.0,0.0,0.02,0.57,0.42,-1.4,-5.0,0.55,0.37,0.97,0.21,0.99,0.15,4.9,0.19,0.49,2023
Vit Krejci,PG,22,ATL,29.0,5.69,0.3,0.68,0.02,0.0,0.0,-0.6,-1.0,0.07,0.03,0.41,0.03,0.03,0.0,1.45,0.0,0.1,2023
Luke Kornet,C,27,BOS,69.0,11.65,0.0,0.0,0.0,0.0,1.0,4.5,-2.6,0.1,0.09,0.93,0.09,0.26,0.01,1.97,0.07,0.12,2023
Furkan Korkmaz,SG,25,PHI,37.0,9.54,0.0,0.74,0.24,0.01,0.0,1.0,-4.1,0.3,0.11,0.24,0.08,0.46,0.03,1.43,0.11,0.22,2023
John Konchar,SF,26,MEM,72.0,20.75,0.0,0.55,0.44,0.0,0.0,7.0,5.5,0.33,0.11,0.94,0.03,0.29,0.25,3.43,0.12,0.19,2023
Sandro Mamukelashvili,C,23,TOT,43.0,15.35,0.0,0.0,0.0,0.23,0.77,-9.8,-4.6,0.37,0.21,0.72,0.12,0.63,0.14,3.49,0.12,0.33,2023
Tre Mann,PG,21,OKC,67.0,17.66,1.0,0.0,0.0,0.0,0.0,0.7,-0.7,0.39,0.28,0.82,0.07,0.42,0.12,4.43,0.13,0.24,2023
Davion Mitchell,PG,24,SAC,80.0,18.09,0.86,0.14,0.0,0.0,0.0,2.4,0.2,0.51,0.1,0.66,0.05,0.2,0.66,5.79,0.11,0.16,2023
Jaden McDaniels,SF,22,MIN,79.0,30.58,0.0,0.07,0.73,0.2,0.0,1.6,4.4,0.59,0.33,1.66,0.2,0.95,0.19,4.44,0.29,0.37,2023
Josh Minott,SF,20,MIN,15.0,6.4,0.0,0.05,0.75,0.21,0.0,10.3,10.8,0.13,0.07,0.53,0.0,0.27,0.0,0.73,0.0,0.4,2023
Justin Minaya,SF,23,POR,4.0,22.25,0.05,0.23,0.72,0.0,0.0,-11.8,-8.3,0.75,0.0,1.75,0.0,0.25,0.0,2.5,0.25,0.0,2023
Shake Milton,SG,26,PHI,76.0,20.62,0.18,0.68,0.14,0.01,0.0,4.2,-0.9,0.63,0.26,0.88,0.14,0.75,0.05,7.49,0.17,0.49,2023
Patty Mills,PG,34,BRK,40.0,14.18,1.0,0.0,0.0,0.0,0.0,-7.2,-9.9,0.42,0.2,0.35,0.05,0.22,0.2,3.25,0.02,0.18,2023
Khris Middleton,SF,31,MIL,33.0,24.27,0.0,0.2,0.63,0.16,0.0,6.5,3.7,1.18,0.58,1.03,0.12,1.18,0.18,11.67,0.33,0.58,2023
Chimezie Metu,PF,25,SAC,66.0,10.44,0.0,0.0,0.01,0.68,0.31,7.1,5.9,0.17,0.2,0.74,0.06,0.53,0.03,1.53,0.12,0.17,2023
Sam Merrill,SG,26,CLE,5.0,11.8,0.05,0.95,0.0,0.0,0.0,-3.4,-9.2,0.0,0.0,0.2,0.0,0.0,0.0,2.6,0.0,0.0,2023
De'Anthony Melton,SG,24,PHI,77.0,27.92,0.22,0.6,0.18,0.0,0.0,2.9,-4.0,0.75,0.34,1.23,0.12,0.39,0.1,6.39,0.06,0.32,2023
Jordan McLaughlin,PG,26,MIN,43.0,15.77,1.0,0.0,0.0,0.0,0.0,6.9,8.6,0.65,0.07,0.51,0.0,0.16,0.14,7.95,0.02,0.19,2023
Rodney McGruder,SG,31,DET,32.0,16.38,0.0,0.56,0.4,0.04,0.0,-5.0,4.1,0.25,0.06,0.72,0.03,0.28,0.31,2.03,0.03,0.28,2023
Bryce McGowens,SG,20,CHO,46.0,17.11,0.03,0.63,0.35,0.0,0.0,-8.4,-3.3,0.41,0.26,0.5,0.15,0.87,0.24,2.65,0.22,0.41,2023
JaVale McGee,C,35,DAL,42.0,8.45,0.0,0.0,0.0,0.0,1.0,-7.4,-8.5,0.24,0.14,0.71,0.33,0.48,0.05,0.6,0.12,0.19,2023
Doug McDermott,SF,31,SAS,64.0,20.53,0.0,0.08,0.52,0.4,0.01,-10.6,-0.8,0.45,0.16,1.11,0.14,0.44,0.06,3.36,0.11,0.38,2023
Jalen McDaniels,SF,25,TOT,80.0,23.91,0.0,0.0,0.76,0.24,0.0,-2.8,1.1,0.45,0.38,1.26,0.19,0.92,0.19,3.9,0.3,0.49,2023
T.J. McConnell,PG,30,IND,75.0,20.35,1.0,0.0,0.0,0.0,0.0,-2.4,1.6,1.2,0.44,0.63,0.03,0.43,0.4,12.8,0.21,0.23,2023
Boban Marjanović,C,34,HOU,31.0,5.52,0.0,0.0,0.0,0.0,1.0,16.7,26.1,0.1,0.23,0.19,0.03,0.45,0.0,0.65,0.23,0.1,2023
CJ McCollum,SG,31,NOP,75.0,35.32,0.56,0.38,0.06,0.0,0.0,0.9,-3.5,1.41,0.51,1.09,0.23,1.44,0.12,13.36,0.36,0.8,2023
Mac McClung,SG,24,PHI,2.0,20.5,1.0,0.0,0.0,0.0,0.0,20.0,15.4,0.5,1.0,0.5,0.0,1.5,0.5,11.0,0.5,0.5,2023
Miles McBride,PG,22,NYK,64.0,11.88,0.91,0.09,0.0,0.0,0.0,5.5,2.9,0.2,0.08,0.52,0.03,0.22,0.19,2.78,0.03,0.17,2023
Skylar Mays,PG,25,POR,6.0,31.5,1.0,0.0,0.0,0.0,0.0,-16.2,-13.1,0.83,0.5,1.33,0.17,1.0,0.17,19.33,0.33,1.33,2023
Tyrese Maxey,SG,22,PHI,60.0,33.6,0.47,0.53,0.0,0.0,0.0,5.8,2.1,0.6,0.22,0.93,0.25,1.82,0.17,8.43,0.55,0.63,2023
Wesley Matthews,SF,36,MIL,52.0,15.77,0.01,0.54,0.41,0.03,0.0,4.8,1.5,0.13,0.08,0.69,0.1,0.19,0.17,1.65,0.0,0.04,2023
Bennedict Mathurin,SG,20,IND,78.0,28.49,0.01,0.65,0.34,0.0,0.0,-4.5,-2.5,0.72,0.63,0.86,0.38,2.85,0.13,3.69,0.69,1.08,2023
Garrison Mathews,SG,26,TOT,54.0,12.7,0.0,0.33,0.66,0.01,0.0,-5.6,1.9,0.15,0.04,0.5,0.06,0.33,0.48,1.17,0.04,0.04,2023
Tyrese Martin,SG,23,ATL,16.0,4.12,0.0,0.06,0.72,0.22,0.0,0.8,0.4,0.0,0.12,0.06,0.0,0.06,0.0,0.31,0.0,0.12,2023
Kenyon Martin Jr.,SF,22,HOU,82.0,27.95,0.0,0.01,0.87,0.13,0.0,-8.4,-0.2,0.4,0.28,0.91,0.22,1.45,0.07,3.73,0.37,0.65,2023
