Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Season
Mike Conley,PG,35,UTA,43,1276,100,,,,,0.8,2.7,56,10,48,3,36,27,807,9,8,2023
Mike Conley,PG,35,MIN,24,753,97,3,,,,0.7,1.1,20,9,27,0,25,16,283,6,6,2023
Pat Connaughton,SF,30,MIL,61,1443,1,26,67,6,,4.9,2.0,20,6,51,6,18,9,184,5,14,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
Xavier Cooks,PF,27,WAS,10,126,,,9,91,,4.7,6.1,1,5,7,1,3,1,15,0,3,2023
Robert Covington,PF,32,LAC,48,779,,,21,73,6,-0.2,-1.1,23,3,56,1,18,5,137,2,9,2023
Torrey Craig,PF,32,PHO,79,1948,,,20,79,1,-3.2,-9.9,37,17,102,12,21,14,287,5,23,2023
Jae Crowder,PF,32,MIL,18,340,,1,35,59,5,0.5,-3.4,1,2,16,4,5,2,64,1,2,2023
Jarrett Culver,SF,23,ATL,10,137,,17,37,47,,-6.3,-7.0,2,2,9,1,7,3,15,1,4,2023
Cade Cunningham,PG,21,DET,12,400,73,26,1,,,-7.5,1.1,21,11,16,5,18,2,176,3,23,2023
Seth Curry,SG,32,BRK,61,1211,35,49,17,,,-3.9,-7.4,24,9,33,7,17,12,244,8,14,2023
Stephen Curry,PG,34,GSW,56,1941,100,,,,,5.8,8.0,111,26,49,12,114,20,838,37,41,2023
Dyson Daniels,PG,19,NOP,59,1042,50,40,11,,,0.5,-2.3,38,10,59,6,13,6,314,6,10,2023
Anthony Davis,C,29,LAL,56,1904,,,,,100,4.7,7.8,39,42,85,25,198,5,357,49,58,2023
Johnny Davis,SG,20,WAS,28,423,1,55,43,1,,-6.9,-6.2,5,8,24,2,14,2,67,4,9,2023
Terence Davis,SG,25,SAC,64,841,3,47,48,1,,3.4,1.4,29,11,50,7,21,4,153,4,13,2023
JD Davison,SG,20,BOS,12,66,26,74,,,,-4.6,-11.4,3,1,2,0,1,1,25,0,1,2023
Darius Days,SF,23,HOU,4,25,,7,93,,,4.1,12.5,0,0,2,0,1,0,3,0,1,2023
Dewayne Dedmon,C,33,TOT,38,426,,,,,100,-10.3,-11.8,4,4,41,11,23,3,62,7,16,2023
Dewayne Dedmon,C,33,MIA,30,350,,,,,100,-9.9,-10.7,3,4,33,7,20,3,37,6,14,2023
Dewayne Dedmon,C,33,PHI,8,76,,,,,100,-11.9,-17.0,1,0,8,4,3,0,25,1,2,2023
Matthew Dellavedova,PG,32,SAC,32,213,94,6,,,,-8.2,-11.1,7,1,7,2,2,7,98,1,1,2023
DeMar DeRozan,SF,33,CHI,74,2682,,,68,32,,1.5,-0.5,74,45,104,14,270,32,923,78,62,2023
Moussa Diabaté,C,21,LAC,22,195,,,3,21,76,-9.6,-10.8,2,2,4,3,9,1,8,4,6,2023
Mamadi Diakite,C,26,CLE,22,176,,,,17,83,0.6,-5.3,3,2,16,3,1,1,19,0,3,2023
Hamidou Diallo,SF,24,DET,56,996,,26,63,11,,-0.4,10.9,26,13,41,17,76,15,133,19,19,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
Gorgui Dieng,C,33,SAS,31,358,,,,29,71,-21.3,-12.4,17,4,37,3,5,6,126,1,5,2023
Ousmane Dieng,PF,19,OKC,39,569,,,8,71,20,3.9,3.2,10,8,26,2,12,0,107,3,8,2023
Spencer Dinwiddie,SG-PG,29,TOT,79,2725,36,54,9,1,,0.4,-0.9,85,26,84,19,161,21,1287,38,62,2023
Spencer Dinwiddie,SG,29,DAL,53,1808,5,81,13,1,,-1.6,-3.4,52,14,56,14,101,13,703,21,45,2023
Spencer Dinwiddie,PG,29,BRK,26,917,98,2,,,,4.3,4.0,33,12,28,5,60,8,584,17,17,2023
Donte DiVincenzo,SG,26,GSW,72,1894,10,79,10,,,3.2,2.6,71,17,52,11,27,34,612,7,16,2023
Luka Dončić,PG,23,DAL,66,2391,96,4,,,,2.2,4.9,141,64,73,12,308,10,1316,74,44,2023
Tyler Dorsey,SF,26,DAL,3,8,,,,100,,7.1,6.9,0,0,0,0,0,0,0,0,0,2023
Luguentz Dort,SF,23,OKC,74,2272,,17,61,21,1,1.0,-0.4,31,30,111,14,120,93,365,23,53,2023
Ayo Dosunmu,SG,23,CHI,80,2098,2,60,36,2,,-1.2,-6.0,43,28,85,8,43,9,481,10,49,2023
Devon Dotson,PG,23,WAS,6,53,95,5,,,,-1.8,-0.6,3,0,3,0,0,0,20,0,2,2023
Jeff Dowtin,PG,25,TOR,25,259,56,44,,,,2.0,0.9,3,0,9,0,4,3,70,2,3,2023
PJ Dozier,SF,26,SAC,16,79,7,34,54,6,,-14.0,-16.6,5,0,4,0,0,4,23,0,1,2023
Goran Dragić,PG,36,TOT,58,870,94,5,1,,,0.0,-1.8,37,10,25,3,23,7,344,5,15,2023
Goran Dragić,PG,36,CHI,51,787,100,,,,,1.6,0.0,32,8,24,3,21,6,314,5,13,2023
Goran Dragić,PG,36,MIL,7,83,40,51,9,,,-15.0,-19.0,5,2,1,0,2,1,30,0,2,2023
Andre Drummond,C,29,CHI,67,849,,,,,100,3.2,2.1,21,17,58,23,65,4,75,14,27,2023
Chris Duarte,SF,25,IND,46,897,1,5,72,23,,-5.6,-2.8,19,10,39,5,32,8,151,7,19,2023
David Duke Jr.,SG,23,BRK,23,228,,25,62,13,,-7.0,-8.8,10,2,11,4,10,3,55,3,10,2023
Kris Dunn,PG,28,UTA,22,568,97,3,,,,-5.1,-4.7,21,7,33,3,30,1,300,9,16,2023
Kevin Durant,PF,34,TOT,47,1672,,,,70,30,7.8,9.1,91,43,51,13,139,7,554,48,25,2023
Kevin Durant,PF,34,BRK,39,1403,,,,65,35,6.7,8.5,78,39,48,11,120,6,490,44,21,2023
