Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
Kelly Olynyk, Center and Power Forward, Right,1991-04-19,Gonzaga,2013-10-30,10,https://www.basketball-reference.com/req/202106291/images/headshots/olynyke01.jpg,211,108,Dallas Mavericks,2013,1st round
Victor Wembanyama, Power Forward, Right,2004-01-04,No College,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/wembavi01.jpg,224,94,San Antonio Spurs,2023,1st round
James Wiseman, Center, Left,2001-03-31,Memphis,2020-12-22,2,https://www.basketball-reference.com/req/202106291/images/headshots/wisemja01.jpg,213,108,Golden State Warriors,2020,1st round
Devonte' Graham, Point Guard, Right,1995-02-22,Kansas,2018-10-22,5,https://www.basketball-reference.com/req/202106291/images/headshots/grahade01.jpg,185,88,Atlanta Hawks,2018,2nd round
Richaun Holmes, Center and Power Forward, Right,1993-10-15,Bowling Green,2015-10-28,8,https://www.basketball-reference.com/req/202106291/images/headshots/holmeri01.jpg,208,106,Philadelphia 76ers,2015,2nd round
Herbert Jones, Power Forward, Left,1998-10-06,Alabama,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/joneshe01.jpg,203,95,New Orleans Pelicans,2021,2nd round
Austin Reaves, Shooting Guard, Right,1998-05-29,No College,2021-10-22,2,https://www.basketball-reference.com/req/202106291/images/headshots/reaveau01.jpg,196,93,Not Drafted,Not Drafted,Not Drafted
Chris Boucher," Power Forward, Center, and Small Forward", Right,1993-01-11,Oregon,2018-03-14,6,https://www.basketball-reference.com/req/202106291/images/headshots/bouchch01.jpg,206,90,Not Drafted,Not Drafted,Not Drafted
Bobby Portis, Power Forward and Center, Right,1995-02-10,Arkansas,2015-11-03,8,https://www.basketball-reference.com/req/202106291/images/headshots/portibo01.jpg,208,113,Chicago Bulls,2015,1st round
Nicolas Batum," Small Forward, Power Forward, and Shooting Guard", Right,1988-12-14,No College,2008-10-28,15,https://www.basketball-reference.com/req/202106291/images/headshots/batumni01.jpg,203,104,Houston Rockets,2008,1st round
Robert Covington," Small Forward, Power Forward, and Center", Right,1990-12-14,Tennessee State,2014-01-18,10,https://www.basketball-reference.com/req/202106291/images/headshots/covinro01.jpg,201,94,Not Drafted,Not Drafted,Not Drafted
Paolo Banchero, Power Forward, Right,2002-11-12,Duke,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/banchpa01.jpg,208,113,Orlando Magic,2022,1st round
Robert Williams, Center, Right,1997-10-17,Texas A&amp;M,2018-10-22,5,https://www.basketball-reference.com/req/202106291/images/headshots/williro04.jpg,206,107,Boston Celtics,2018,1st round
Coby White, Point Guard and Shooting Guard, Right,2000-02-16,UNC,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/whiteco01.jpg,196,88,Chicago Bulls,2019,1st round
Cade Cunningham, Point Guard and Shooting Guard, Right,2001-09-25,Oklahoma State,2021-10-30,2,https://www.basketball-reference.com/req/202106291/images/headshots/cunnica01.jpg,198,99,Detroit Pistons,2021,1st round
Talen Horton-Tucker, Shooting Guard, Right,2000-11-25,Iowa State,2019-12-08,4,https://www.basketball-reference.com/req/202106291/images/headshots/hortota01.jpg,193,106,Orlando Magic,2019,2nd round
P.J. Tucker," Power Forward, Small Forward, and Shooting Guard", Right,1985-05-05,Texas,2006-11-01,12,https://www.basketball-reference.com/req/202106291/images/headshots/tuckepj01.jpg,196,111,Toronto Raptors,2006,2nd round
Reggie Bullock, Small Forward and Shooting Guard, Right,1991-03-16,UNC,2013-10-29,10,https://www.basketball-reference.com/req/202106291/images/headshots/bullore01.jpg,198,92,Los Angeles Clippers,2013,1st round
Maxi Kleber, Power Forward, Right,1992-01-29,No College,2017-10-21,6,https://www.basketball-reference.com/req/202106291/images/headshots/klebima01.jpg,208,108,Not Drafted,Not Drafted,Not Drafted
Joe Ingles, Small Forward and Power Forward, Left,1987-10-02,No College,2014-10-29,9,https://www.basketball-reference.com/req/202106291/images/headshots/inglejo01.jpg,203,99,Not Drafted,Not Drafted,Not Drafted
Ivica Zubac, Center, Right,1997-03-18,No College,2016-11-02,7,https://www.basketball-reference.com/req/202106291/images/headshots/zubaciv01.jpg,213,108,Los Angeles Lakers,2016,2nd round
LaMelo Ball, Point Guard, Right,2001-08-22,No College,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/ballla01.jpg,201,81,Charlotte Hornets,2020,1st round
Donte DiVincenzo, Shooting Guard, Right,1997-01-31,Villanova,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/divindo01.jpg,193,92,Milwaukee Bucks,2018,1st round
Brandon Miller, Small Forward, Right,2002-11-22,Alabama,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/millebr02.jpg,206,91,Charlotte Hornets,2023,1st round
Terance Mann, Shooting Guard and Small Forward, Right,1996-10-18,Florida State,2019-10-24,4,https://www.basketball-reference.com/req/202106291/images/headshots/mannte01.jpg,196,97,Los Angeles Clippers,2019,2nd round
Gabe Vincent, Point Guard, Right,1996-06-14,UC Santa Barbara,2020-01-27,4,https://www.basketball-reference.com/req/202106291/images/headshots/vincega01.jpg,190,88,Not Drafted,Not Drafted,Not Drafted
Matisse Thybulle, Shooting Guard and Small Forward, Right,1997-03-04,Washington,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/thybuma01.jpg,196,91,Boston Celtics,2019,1st round
Alec Burks, Shooting Guard and Small Forward, Right,1991-07-20,Colorado,2011-12-27,12,https://www.basketball-reference.com/req/202106291/images/headshots/burksal01.jpg,198,97,Utah Jazz,2011,1st round
Chet Holmgren, Power Forward, Right,2002-05-01,Gonzaga,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/holmgch01.jpg,213,88,Oklahoma City Thunder,2022,1st round
Larry Nance Jr., Center and Power Forward, Right,1993-01-01,Wyoming,2015-11-06,8,https://www.basketball-reference.com/req/202106291/images/headshots/nancela02.jpg,201,111,Los Angeles Lakers,2015,1st round
Landry Shamet, Shooting Guard, Right,1997-03-13,Wichita State,2018-10-16,5,https://www.basketball-reference.com/req/202106291/images/headshots/shamela01.jpg,193,86,Philadelphia 76ers,2018,1st round
Al Horford, Center, Right,1986-06-03,Florida,2007-11-02,16,https://www.basketball-reference.com/req/202106291/images/headshots/horfoal01.jpg,206,108,Atlanta Hawks,2007,1st round
Malik Monk, Shooting Guard, Right,1998-02-04,Kentucky,2017-10-18,6,https://www.basketball-reference.com/req/202106291/images/headshots/monkma01.jpg,190,90,Charlotte Hornets,2017,1st round
Tre Jones, Point Guard, Right,2000-01-08,Duke,2020-12-30,3,https://www.basketball-reference.com/req/202106291/images/headshots/jonestr01.jpg,185,83,San Antonio Spurs,2020,2nd round
Jalen Green, Shooting Guard, Right,2002-02-09,No College,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/greenja05.jpg,193,80,Houston Rockets,2021,1st round
Patrick Williams, Power Forward, Right,2001-08-26,Florida State,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/willipa01.jpg,201,97,Chicago Bulls,2020,1st round
