,Player,2022-23
395,Moritz Wagner,1878720
396,Thanasis Antetokounmpo,1878720
397,Wenyen Gabriel,1878720
399,Oshae Brissett,1846738
400,Anthony Gill,1836090
401,Gorgui Dieng,2458672
402,James Johnson,2427016
403,Taj Gibson,1836090
404,Cody Zeller,517060
405,Juan Toscano-Anderson,1836090
406,Juancho Hernangómez,1836090
407,Matthew Dellavedova,1836090
408,Ryan Arcidiacono,1836090
409,Drew Eubanks,1836090
410,Damion Lee,1836090
411,Josh Okogie,1836090
412,T.J. Warren,1836090
413,Bismack Biyombo,1836090
414,Skylar Mays,0
415,Jay Scrubb,0
416,Jahmi'us Ramsey,0
417,Robert Woodard II,0
418,Justin Jackson,1836090
420,Isaiah Joe,1836090
421,Kelan Martin,0
422,Bryn Forbes,1836090
423,Nathan Knight,1836090
424,Austin Rivers,1836090
425,Wesley Matthews,1836090
426,Udonis Haslem,1836090
427,Shaquille Harrison,0
428,Dennis Schröder,1836090
429,Troy Brown Jr.,1836090
430,Malik Fitts,555217
431,Serge Ibaka,1836090
432,Frank Kaminsky,1836090
433,Andre Iguodala,1836090
435,Rodney McGruder,1836090
437,Thomas Bryant,1836090
438,Markieff Morris,1836090
439,Theo Pinson,1836090
441,Robin Lopez,1836090
442,Raul Neto,1836090
443,Dennis Smith Jr.,1836090
445,Goran Dragić,2226523
446,Yuta Watanabe,1836090
447,Luka Šamanić,0
448,Blake Griffin,1836090
449,Aaron Holiday,1836090
450,Gabe Vincent,1815677
451,Max Strus,1815677
452,Javonte Green,1815677
453,Herbert Jones,1785000
454,Vernon Carey Jr.,1782621
455,Tre Jones,1782621
456,Paul Reed,1782621
457,Naji Marshall,1782621
458,Xavier Tillman Sr.,1782621
459,Kenyon Martin Jr.,1782621
460,Lamar Stevens,1782621
462,Nick Richards,1782621
463,Saben Lee,1752638
464,Devin Cannady,1752638
465,Omer Yurtseven,1752638
466,Haywood Highsmith,1752638
467,Jericho Sims,1639842
468,Sam Hauser,1637966
469,Kessler Edwards,1637966
470,Mac McClung,1637966
471,Lindell Wigginton,0
472,Jay Huff,0
473,Gabe York,0
475,Xavier Sneed,0
476,Isaiah Todd,1575000
477,Trendon Watford,1563518
478,Jared Butler,1563518
479,Dalano Banton,1563518
480,Greg Brown III,1563518
481,Jock Landale,1563518
483,Aaron Wiggins,1563518
484,Miles McBride,1563518
485,John Butler,0
486,Jose Alvarado,1563518
487,Austin Reaves,1563518
488,Jason Preston,1563518
489,Brandon Boston Jr.,1563518
490,Terry Taylor,1563518
491,Daishen Nix,1563518
492,Isaiah Livers,1563518
493,JT Thor,1563518
494,Ayo Dosunmu,1563518
495,Marko Simonovic,1563518
496,Vit Krejci,1563518
497,Christian Koloko,1500000
498,Eric Bledsoe,1300000
500,Kennedy Chandler,1200000
501,Noah Vonleh,1160955
502,Bryce McGowens,1075000
504,Jaden Hardy,1017781
505,Josh Minott,1017781
506,Max Christie,1017781
507,Ryan Rollins,1017781
508,RaiQuan Gray,0
510,Jabari Walker,1017781
511,Quenton Jackson,0
512,Jeenathan Williams,0
513,Nuni Omot,0
514,Jacob Gilyard,0
515,Donovan Williams,0
516,Jared Rhoden,0
517,Tyrese Martin,1017781
518,Kyle Singler,999200
519,Jordan Goodwin,900000
520,Sam Merrill,1000000
521,Justin Champagnie,0
522,Kris Dunn,735819
523,Nik Stauskas,702311
526,Michael Carter-Williams,652829
536,Eugene Omoruyi,555402
541,Admiral Schofield,506508
543,Chima Moneke,500000
547,Ish Wainright,474851
548,Matt Ryan,0
551,Sandro Mamukelashvili,357717
552,Carlik Jones,357717
553,D.J. Augustin,333333
554,Trevelin Queen,330000
555,Meyers Leonard,105522
556,Didi Louzada,268032
557,Anthony Lamb,253254
558,D.J. Wilson,250000
559,Alize Johnson,192293
561,Xavier Cooks,140384
563,Troy Williams,122741
577,DaQuan Jeffries,0
580,Moses Brown,0
588,Demetrius Jackson,92857
590,Trevor Keels,0
591,Lester Quinones,0
592,Stanley Umude,58493
