Player,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Versatility Score,Blocks/Foul Ratio,And1 Efectiveness,AST/TOV Ratio,ORB/DRB,Net Plus Minus,3P Shots Attempted %,2P Shots Attempted %,PF Efficiency,Points per Shot attempted,Starting Percentage
Caleb Houstan,4,1.3,3.6,0.363,0.9,2.7,0.338,0.4,0.9,0.435,0.489,0.3,0.4,0.833,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,3.8,2023,6.2,0.508,0.747,0.099,4.7,9.1,6.9,4.9,0.7,0.8,8.7,11.0,0.1,0.5,0.7,0.039,-3.1,-0.9,-4.0,-0.4,SF,20,ORL,51.0,15.92,0.02,0.34,0.53,0.11,0.01,-5.5,-3.4,0.16,0.06,0.69,0.02,0.12,0.0,1.53,0.02,0.14,1.0704,0.1449,0.1667,3.75,0.5385,-2.2,0.75,0.25,0.25,0.9722,0.0784
Isaiah Jackson,12,2.8,5.0,0.563,0.0,0.2,0.143,2.8,4.8,0.582,0.566,1.5,2.3,0.651,1.8,2.7,4.5,0.8,0.5,1.5,0.8,2.4,7.2,2023,17.5,0.595,0.044,0.459,12.1,18.0,15.0,7.0,1.4,7.7,11.8,17.4,1.5,1.2,2.7,0.124,-1.7,0.9,-0.8,0.3,C,21,IND,63.0,16.54,0.0,0.0,0.0,0.22,0.78,-5.3,-2.5,0.21,0.13,1.16,0.38,1.11,0.06,1.92,0.27,0.48,0.5269,1.2931,0.2432,3.8095238095238098,0.6667,-2.6,0.04,0.96,0.8333,1.12,0.1905
Jaden Ivey,73,5.5,13.3,0.416,1.6,4.7,0.343,3.9,8.6,0.457,0.477,3.6,4.8,0.747,1.0,2.9,3.9,5.2,0.8,0.2,3.2,3.3,16.3,2023,12.1,0.528,0.356,0.362,3.4,10.7,6.9,26.2,1.3,0.7,17.2,25.4,-0.9,0.8,0.0,-0.001,-1.4,-1.9,-3.3,-0.7,SG,20,DET,74.0,31.14,0.27,0.64,0.08,0.01,0.0,-13.4,-11.8,1.85,0.8,1.62,0.19,2.3,0.27,12.43,0.45,1.18,0.8873,0.1235,0.1957,2.810810810810811,0.3448,0.5,0.3534,0.6466,0.303,0.9474,0.9865
Jonathan Isaac,0,2.0,4.8,0.415,0.5,1.4,0.4,1.5,3.5,0.421,0.472,0.5,0.8,0.556,1.4,2.6,4.0,0.5,1.3,0.4,0.4,0.5,5.0,2023,20.3,0.483,0.283,0.17,13.7,26.5,20.1,7.3,5.5,3.1,6.6,21.1,0.0,0.3,0.3,0.13,1.0,3.0,4.0,0.2,PF,25,ORL,11.0,11.27,0.0,0.0,0.19,0.81,0.0,-6.4,-3.7,0.0,0.18,0.18,0.0,0.45,0.0,1.36,0.09,0.18,0.4862,2.2222,0.2,0.0,0.5385,-2.0,0.2857,0.7143,3.4,0.9375,0.0
Kyrie Irving,60,9.9,20.1,0.494,3.1,8.3,0.379,6.8,11.8,0.574,0.572,4.1,4.6,0.905,1.0,4.1,5.1,5.5,1.1,0.8,2.1,2.8,27.1,2023,22.4,0.613,0.412,0.227,3.0,12.3,7.7,25.4,1.4,1.7,8.8,28.9,5.4,2.0,7.4,0.159,4.8,-0.7,4.1,3.5,PG-SG,30,TOT,60.0,37.35,0.72,0.28,0.0,0.0,0.0,4.6,5.3,1.15,0.6,1.42,0.15,1.9,0.27,13.47,0.57,0.92,0.593,0.5634,0.3,4.782608695652175,0.2439,5.5,0.4129,0.5871,0.6786,1.1393,1.0
Brandon Ingram,45,9.0,18.6,0.484,1.4,3.6,0.39,7.6,14.9,0.507,0.522,5.3,6.0,0.882,0.5,5.0,5.5,5.8,0.7,0.4,3.3,2.6,24.7,2023,19.2,0.582,0.196,0.326,1.7,16.4,9.1,28.1,1.0,1.2,13.4,30.8,1.8,1.7,3.5,0.108,2.2,-0.4,1.7,1.4,SF,25,NOP,45.0,34.18,0.0,0.72,0.28,0.01,0.0,3.1,1.6,1.49,0.93,1.4,0.49,2.64,0.24,14.53,0.64,0.82,0.639,0.2857,0.2424,3.8926174496644292,0.1,2.6,0.1946,0.8054,0.4231,1.043,1.0
Joe Ingles,0,2.3,5.4,0.435,1.8,4.4,0.409,0.5,1.0,0.556,0.603,0.4,0.5,0.857,0.3,2.5,2.8,3.3,0.7,0.1,1.2,1.6,6.9,2023,10.7,0.616,0.819,0.085,1.4,11.1,6.4,18.4,1.5,0.5,17.6,12.6,1.1,1.2,2.3,0.107,-1.6,0.8,-0.7,0.3,SF,35,MIL,46.0,22.7,0.0,0.07,0.56,0.36,0.02,2.8,-1.1,0.85,0.15,0.76,0.04,0.11,0.22,7.57,0.02,0.11,0.9569,0.1316,0.1818,3.8823529411764706,0.12,-2.4,0.8148,0.1852,0.5,1.1852,0.0
Andre Iguodala,0,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1.0,0.5,0.3,0.4,0.667,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1,2023,7.3,0.521,0.6,0.2,3.0,13.4,8.3,20.3,1.7,2.3,35.5,9.4,0.0,0.1,0.1,0.044,-4.3,1.7,-2.5,0.0,PF,39,GSW,8.0,14.12,0.0,0.0,0.0,0.95,0.05,15.2,13.8,0.88,0.12,1.0,0.12,0.12,0.25,5.88,0.12,0.0,0.1985,0.4,1.0,2.727272727272727,0.2222,-6.0,0.5789,0.4211,0.6429,1.0,0.0
Serge Ibaka,0,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.537,0.5,0.8,0.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1,2023,9.8,0.553,0.333,0.241,8.8,15.7,12.4,2.9,0.5,3.1,15.6,16.1,0.0,0.2,0.2,0.058,-4.6,0.0,-4.5,-0.1,C,33,MIL,16.0,11.56,0.0,0.0,0.0,0.2,0.8,-9.5,-13.7,0.06,0.25,0.62,0.31,0.31,0.0,0.62,0.06,0.19,0.5004,0.6452,0.1935,5.0,0.5,-4.6,0.3235,0.6765,0.3571,1.1176,0.0
Bones Hyland,1,4.1,10.2,0.399,2.1,5.6,0.371,2.0,4.6,0.434,0.502,1.5,1.8,0.843,0.4,2.1,2.4,3.1,0.7,0.3,1.5,1.7,11.8,2023,14.9,0.535,0.552,0.179,2.1,11.8,7.1,23.4,1.8,1.2,11.7,28.0,0.3,1.1,1.4,0.062,0.4,-1.2,-0.8,0.3,PG,22,TOT,56.0,19.38,0.97,0.03,0.0,0.0,0.0,-4.7,-9.7,0.88,0.29,0.75,0.09,0.61,0.14,7.14,0.14,0.64,0.1347,0.4,0.2295,3.522727272727273,0.1905,1.6,0.549,0.451,0.5882,1.0098,0.0179
De'Andre Hunter,67,5.7,12.3,0.461,1.5,4.3,0.35,4.2,8.0,0.521,0.522,2.6,3.1,0.826,0.7,3.6,4.2,1.4,0.5,0.3,1.2,3.0,15.4,2023,11.5,0.563,0.348,0.252,2.3,12.4,7.3,6.0,0.8,0.7,8.2,19.7,1.4,1.2,2.5,0.057,-1.9,-1.4,-3.3,-0.7,SF,25,ATL,67.0,31.73,0.0,0.0,0.74,0.26,0.0,-0.2,-1.5,0.31,0.51,1.45,0.21,1.49,0.49,3.36,0.3,0.7,0.5731,0.2069,0.2013,4.516129032258064,0.1944,-0.5,0.3496,0.6504,0.2667,1.0488,1.0
Kevin Huerter,75,5.6,11.5,0.485,2.7,6.8,0.402,2.9,4.7,0.604,0.603,1.3,1.7,0.725,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4,15.2,2023,15.2,0.617,0.589,0.151,2.2,10.8,6.5,14.1,1.7,1.0,9.5,19.9,3.3,1.7,4.9,0.107,1.4,-0.3,1.0,1.7,SG,24,SAC,75.0,29.37,0.01,0.72,0.26,0.02,0.0,3.0,1.6,0.71,0.19,1.15,0.08,0.67,0.11,6.88,0.16,0.32,0.7111,0.2609,0.2388,4.084507042253521,0.2143,1.7,0.5913,0.4087,0.5833,1.2087,1.0
Danuel House Jr.,5,1.7,3.5,0.472,0.7,2.0,0.336,1.0,1.6,0.644,0.566,0.8,1.1,0.75,0.2,1.5,1.7,0.8,0.3,0.2,0.5,1.2,4.8,2023,9.4,0.6,0.558,0.305,1.3,12.2,6.9,7.5,0.9,1.0,10.4,13.8,0.6,0.7,1.3,0.075,-2.5,-0.5,-3.0,-0.2,SF,29,PHI,56.0,14.41,0.0,0.11,0.81,0.08,0.0,0.9,-4.9,0.2,0.07,0.73,0.09,0.54,0.2,1.86,0.11,0.07,0.6155,0.274,0.2037,4.0,0.1333,-2.0,0.5556,0.4444,0.4167,1.1714,0.0893
Talen Horton-Tucker,20,4.0,9.4,0.419,0.9,3.1,0.286,3.1,6.3,0.485,0.467,1.9,2.6,0.75,0.6,2.6,3.2,3.8,0.6,0.4,1.9,1.7,10.7,2023,13.7,0.508,0.331,0.274,3.4,13.7,8.6,27.4,1.5,1.9,15.5,25.9,-0.3,1.1,0.8,0.029,-1.1,-0.5,-1.6,0.2,SG,22,UTA,65.0,20.2,0.08,0.51,0.37,0.04,0.0,-0.4,1.0,0.92,0.37,0.77,0.29,1.2,0.15,8.98,0.32,0.69,1.0421,0.5195,0.2667,4.130434782608695,0.2308,-0.6,0.3298,0.6702,0.5882,0.9468,0.3077
Al Horford,63,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,0.627,0.2,0.3,0.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8,2023,13.8,0.631,0.678,0.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5,C,36,BOS,63.0,30.51,0.0,0.0,0.0,0.08,0.92,7.9,2.5,0.27,0.08,1.27,0.22,0.16,0.03,7.4,0.08,0.13,0.2788,0.7874,0.5,11.11111111111111,0.24,-0.1,0.6842,0.3158,0.7895,1.25,1.0
Richaun Holmes,1,1.3,2.1,0.618,0.1,0.2,0.625,1.2,1.9,0.617,0.646,0.4,0.5,0.789,0.7,1.2,1.9,0.2,0.1,0.3,0.3,1.2,3.1,2023,12.9,0.668,0.09,0.213,9.6,16.6,13.1,3.5,0.4,2.8,12.6,13.7,0.6,0.3,0.8,0.113,-2.0,-0.9,-2.9,-0.1,C,29,SAC,42.0,8.29,0.0,0.0,0.0,0.05,0.95,-11.4,-15.0,0.05,0.05,0.71,0.17,0.21,0.0,0.55,0.07,0.19,0.1985,0.4225,0.3333,4.0,0.5833,-1.1,0.0952,0.9048,0.3333,1.2857,0.0238
Justin Holiday,2,1.7,4.4,0.377,1.0,3.1,0.322,0.7,1.3,0.508,0.49,0.1,0.2,0.625,0.1,1.1,1.2,0.9,0.4,0.4,0.5,1.5,4.5,2023,6.6,0.494,0.701,0.039,0.8,8.1,4.4,7.5,1.3,2.3,9.6,14.1,-0.4,0.5,0.1,0.008,-3.7,-0.1,-3.9,-0.3,SF,33,TOT,46.0,15.35,0.0,0.23,0.65,0.1,0.03,-7.5,-8.6,0.33,0.07,0.87,0.02,0.09,0.13,2.15,0.02,0.2,0.9535,0.4598,0.2222,2.727272727272727,0.0909,-3.6,0.7045,0.2955,0.5333,1.0,0.0435
